"","Loan_Term","Income","Age","Status_marital","Type_residence","Red_flag","Type_employment","school","default","Time_to_default","delta"
"1",36,74.51,4,6,2,1,1,1,0,32,0
"2",48,158.33,4,2,5,1,2,4,1,32,1
"3",48,238.7,2,2,3,1,2,3,0,44,0
"4",48,281.7,4,2,4,1,2,2,0,44,0
"5",48,330.67,7,3,2,1,2,1,0,44,0
"6",24,335,5,3,4,1,2,4,0,20,0
"7",24,365.35,2,2,3,1,2,4,1,9,1
"8",48,367.5,5,3,5,1,2,4,0,44,0
"9",48,370,7,3,5,1,2,1,1,22,1
"10",60,370,4,3,4,1,2,5,0,56,0
"11",48,370,7,3,5,1,2,1,1,0,1
"12",60,372.41,5,3,5,1,2,6,0,56,0
"13",48,372.5,4,3,5,1,2,2,0,44,0
"14",24,372.5,5,6,5,1,2,1,0,20,0
"15",37,372.5,7,3,5,1,2,2,0,33,0
"16",48,372.5,6,3,2,1,2,6,0,44,0
"17",48,372.5,5,3,5,1,2,1,0,44,0
"18",24,372.5,5,3,4,1,2,4,0,20,0
"19",36,380,5,3,5,2,2,2,1,7,1
"20",36,380,4,2,4,1,2,6,0,32,0
"21",24,380,7,3,5,1,2,6,0,20,0
"22",24,380,5,3,5,2,2,4,0,20,0
"23",36,380,5,3,5,2,2,2,1,0,1
"24",60,385,5,3,5,1,2,2,0,56,0
"25",24,388,2,2,3,1,2,4,0,20,0
"26",36,391.6,4,3,3,1,2,4,0,32,0
"27",60,396,4,2,3,1,1,5,0,56,0
"28",48,400,6,3,4,1,2,5,0,44,0
"29",24,400,6,3,5,1,2,3,0,20,0
"30",48,400,5,2,5,1,1,4,1,0,1
"31",48,406,4,2,5,1,2,4,1,1,1
"32",48,406,4,2,5,1,2,4,0,44,0
"33",48,406,4,2,5,1,2,4,1,0,1
"34",24,415,5,2,5,1,2,1,0,20,0
"35",48,415,7,2,5,1,1,4,0,44,0
"36",48,415,7,3,5,1,2,1,1,34,1
"37",24,415,5,2,5,1,2,4,0,20,0
"38",37,415,7,3,4,1,2,4,0,33,0
"39",24,415,4,2,4,1,2,3,0,20,0
"40",60,415,7,4,2,1,2,1,0,56,0
"41",48,415,2,2,3,1,2,4,0,44,0
"42",48,415,7,6,5,1,2,1,0,44,0
"43",60,415,5,3,4,1,2,1,0,56,0
"44",24,415,7,2,4,1,2,4,0,20,0
"45",60,415,5,3,5,1,2,6,0,56,0
"46",36,415,7,3,5,1,2,2,0,32,0
"47",48,415,2,3,5,1,2,4,0,44,0
"48",48,415,6,5,5,1,2,1,0,44,0
"49",24,415,7,3,5,1,2,1,0,20,0
"50",37,415,5,2,5,1,2,4,0,33,0
"51",60,415,3,2,5,1,2,4,1,5,1
"52",36,415,3,2,5,1,1,6,0,32,0
"53",60,415,2,2,3,1,2,4,0,56,0
"54",48,415,3,2,3,1,2,4,0,44,0
"55",48,415,3,3,3,1,2,4,0,44,0
"56",36,415,5,3,5,1,2,4,0,32,0
"57",24,415,7,3,4,1,2,1,0,20,0
"58",24,415,7,3,5,1,2,3,0,20,0
"59",30,415,7,3,5,1,2,1,0,26,0
"60",48,415,5,3,5,1,1,1,0,44,0
"61",24,415,7,3,3,2,2,1,0,20,0
"62",48,415,7,3,5,1,2,1,0,44,0
"63",48,415,3,2,3,1,2,6,0,44,0
"64",48,415,6,3,5,1,2,4,0,44,0
"65",40,415,4,6,5,1,2,4,1,16,1
"66",60,415,5,3,5,1,2,4,0,56,0
"67",49,415,4,3,5,1,2,4,0,45,0
"68",36,415,7,3,4,1,2,1,0,32,0
"69",48,415,6,3,5,2,2,2,1,15,1
"70",48,415,4,3,6,1,2,4,0,44,0
"71",60,415,5,3,3,1,2,4,0,56,0
"72",48,415,2,2,3,2,2,3,1,26,1
"73",48,415,6,3,5,1,2,1,0,44,0
"74",18,415,6,3,4,1,1,1,0,14,0
"75",48,415,7,3,5,1,2,1,1,0,1
"76",48,415,2,2,3,2,2,3,1,0,1
"77",60,415,3,2,5,1,2,4,1,0,1
"78",24,420.46,3,2,3,1,2,1,1,21,1
"79",24,425,4,2,3,1,2,2,0,20,0
"80",48,425,2,2,5,1,2,4,0,44,0
"81",48,430,5,2,4,1,2,4,1,9,1
"82",36,435,3,2,3,1,2,4,0,32,0
"83",36,439.29,7,3,5,1,2,1,0,32,0
"84",48,450,5,3,5,2,2,2,1,36,1
"85",48,450,5,3,5,2,2,2,1,0,1
"86",60,454.49,4,6,5,1,2,4,0,56,0
"87",24,456,2,2,3,1,2,4,0,20,0
"88",48,459.45,2,2,3,1,2,4,0,44,0
"89",48,462,4,2,4,1,2,1,1,6,1
"90",48,462,4,2,4,1,2,1,1,0,1
"91",60,463.46,4,2,4,2,2,2,0,56,0
"92",24,464,5,3,2,3,2,4,1,7,1
"93",24,464,5,3,2,3,2,4,1,0,1
"94",48,464.5,5,3,5,1,2,4,0,44,0
"95",24,467,4,2,3,1,2,4,0,20,0
"96",48,470,5,6,5,1,1,1,1,3,1
"97",24,470,6,6,4,1,1,1,1,8,1
"98",48,471.34,7,3,5,1,2,1,0,44,0
"99",12,475,3,2,3,1,2,3,0,8,0
"100",60,477.4,4,2,4,1,2,4,0,56,0
"101",48,479,2,2,3,1,1,5,1,9,1
"102",48,479,2,2,3,1,1,5,1,0,1
"103",48,481.32,4,6,5,1,2,3,1,6,1
"104",12,481.45,4,2,4,1,2,4,0,8,0
"105",48,483.44,3,2,3,1,2,4,0,44,0
"106",40,484,4,2,3,1,2,2,0,36,0
"107",48,484.28,7,3,5,1,2,2,0,44,0
"108",51,490,4,6,3,1,2,1,0,47,0
"109",60,492.89,3,2,3,1,2,6,0,56,0
"110",60,493,4,6,2,1,2,4,0,56,0
"111",38,498.25,2,2,3,1,2,5,0,34,0
"112",48,500,5,3,5,1,1,1,0,44,0
"113",60,500,4,2,5,1,2,4,0,56,0
"114",18,500,4,3,5,1,2,5,0,14,0
"115",48,500,4,2,3,1,2,4,0,44,0
"116",48,500,2,2,3,1,1,4,1,21,1
"117",48,500,2,2,3,1,1,5,0,44,0
"118",60,500,4,3,3,1,2,4,0,56,0
"119",48,500,4,2,7,1,2,3,1,22,1
"120",36,500,6,3,4,1,2,1,0,32,0
"121",48,500,4,2,7,1,2,3,1,0,1
"122",48,500,2,2,3,1,1,4,1,0,1
"123",48,504.96,4,3,4,1,2,2,0,44,0
"124",49,506,3,2,3,1,2,5,0,45,0
"125",60,507,4,2,5,1,2,4,0,56,0
"126",48,512,7,2,4,2,2,4,0,44,0
"127",48,512,4,2,3,2,2,4,1,19,1
"128",48,512,4,2,3,2,2,4,1,0,1
"129",48,515,4,4,5,1,2,5,1,9,1
"130",48,518.46,2,2,5,1,2,3,0,44,0
"131",48,520,5,6,5,2,2,4,0,44,0
"132",36,520.97,4,2,3,1,2,4,0,32,0
