"","Loan_Term","Income","Age","Status_marital","Type_residence","Red_flag","Type_employment","school","default","Time_to_default","delta"
"1",48,158.33,4,2,5,1,2,4,1,32,1
"2",48,330.67,7,3,2,1,2,1,0,44,0
"3",48,367.5,5,3,5,1,2,4,0,44,0
"4",60,370,4,3,4,1,2,5,0,56,0
"5",60,372.41,5,3,5,1,2,6,0,56,0
"6",48,372.5,4,3,5,1,2,2,0,44,0
"7",37,372.5,7,3,5,1,2,2,0,33,0
"8",24,372.5,5,3,4,1,2,4,0,20,0
"9",36,380,4,2,4,1,2,6,0,32,0
"10",24,380,7,3,5,1,2,6,0,20,0
"11",24,380,5,3,5,2,2,4,0,20,0
"12",36,380,5,3,5,2,2,2,1,0,1
"13",24,388,2,2,3,1,2,4,0,20,0
"14",36,391.6,4,3,3,1,2,4,0,32,0
"15",48,400,6,3,4,1,2,5,0,44,0
"16",24,400,6,3,5,1,2,3,0,20,0
"17",48,400,5,2,5,1,1,4,1,0,1
"18",48,406,4,2,5,1,2,4,1,1,1
"19",48,406,4,2,5,1,2,4,1,0,1
"20",24,415,5,2,5,1,2,1,0,20,0
"21",48,415,7,2,5,1,1,4,0,44,0
"22",60,415,7,4,2,1,2,1,0,56,0
"23",48,415,2,2,3,1,2,4,0,44,0
"24",48,415,7,6,5,1,2,1,0,44,0
"25",60,415,5,3,4,1,2,1,0,56,0
"26",36,415,7,3,5,1,2,2,0,32,0
"27",48,415,2,3,5,1,2,4,0,44,0
"28",48,415,6,5,5,1,2,1,0,44,0
"29",24,415,7,3,5,1,2,1,0,20,0
"30",37,415,5,2,5,1,2,4,0,33,0
"31",48,415,3,2,3,1,2,4,0,44,0
"32",48,415,3,3,3,1,2,4,0,44,0
"33",24,415,7,3,5,1,2,3,0,20,0
"34",30,415,7,3,5,1,2,1,0,26,0
"35",24,415,7,3,3,2,2,1,0,20,0
"36",48,415,7,3,5,1,2,1,0,44,0
"37",48,415,3,2,3,1,2,6,0,44,0
"38",40,415,4,6,5,1,2,4,1,16,1
"39",60,415,5,3,5,1,2,4,0,56,0
"40",36,415,7,3,4,1,2,1,0,32,0
"41",48,415,6,3,5,2,2,2,1,15,1
"42",60,415,5,3,3,1,2,4,0,56,0
"43",48,415,2,2,3,2,2,3,1,26,1
"44",48,415,6,3,5,1,2,1,0,44,0
"45",48,415,7,3,5,1,2,1,1,0,1
"46",48,415,2,2,3,2,2,3,1,0,1
"47",48,430,5,2,4,1,2,4,1,9,1
"48",36,435,3,2,3,1,2,4,0,32,0
"49",48,450,5,3,5,2,2,2,1,36,1
"50",60,454.49,4,6,5,1,2,4,0,56,0
"51",24,456,2,2,3,1,2,4,0,20,0
"52",48,459.45,2,2,3,1,2,4,0,44,0
"53",48,462,4,2,4,1,2,1,1,6,1
"54",60,463.46,4,2,4,2,2,2,0,56,0
"55",24,464,5,3,2,3,2,4,1,7,1
"56",24,464,5,3,2,3,2,4,1,0,1
"57",48,464.5,5,3,5,1,2,4,0,44,0
"58",24,467,4,2,3,1,2,4,0,20,0
"59",48,470,5,6,5,1,1,1,1,3,1
"60",24,470,6,6,4,1,1,1,1,8,1
"61",48,471.34,7,3,5,1,2,1,0,44,0
"62",12,475,3,2,3,1,2,3,0,8,0
"63",48,479,2,2,3,1,1,5,1,9,1
"64",48,479,2,2,3,1,1,5,1,0,1
"65",48,481.32,4,6,5,1,2,3,1,6,1
"66",48,483.44,3,2,3,1,2,4,0,44,0
"67",48,484.28,7,3,5,1,2,2,0,44,0
"68",51,490,4,6,3,1,2,1,0,47,0
"69",60,493,4,6,2,1,2,4,0,56,0
"70",38,498.25,2,2,3,1,2,5,0,34,0
"71",48,500,4,2,3,1,2,4,0,44,0
"72",48,500,2,2,3,1,1,4,1,21,1
"73",60,500,4,3,3,1,2,4,0,56,0
"74",48,500,4,2,7,1,2,3,1,22,1
"75",36,500,6,3,4,1,2,1,0,32,0
"76",48,500,2,2,3,1,1,4,1,0,1
"77",48,504.96,4,3,4,1,2,2,0,44,0
"78",60,507,4,2,5,1,2,4,0,56,0
"79",48,512,4,2,3,2,2,4,1,19,1
"80",48,512,4,2,3,2,2,4,1,0,1
"81",48,515,4,4,5,1,2,5,1,9,1
"82",36,520.97,4,2,3,1,2,4,0,32,0
"83",48,527.52,4,2,3,2,2,6,0,44,0
"84",37,534,4,3,2,1,2,4,0,33,0
"85",48,540,4,2,3,1,2,4,1,38,1
"86",48,543,2,2,3,1,2,5,1,0,1
"87",48,545.17,4,2,7,1,2,4,0,44,0
"88",48,546,4,2,5,1,2,4,0,44,0
"89",60,550,5,2,4,1,2,5,0,56,0
"90",24,550,2,2,3,1,2,5,0,20,0
"91",36,550,2,2,2,1,2,5,0,32,0
"92",26,550.46,7,3,5,1,2,1,0,22,0
"93",48,552.9,2,3,3,1,2,5,1,6,1
"94",60,555,5,3,5,1,2,1,0,56,0
"95",48,558,4,6,3,1,2,4,0,44,0
"96",60,558.85,4,2,2,1,1,4,1,5,1
"97",37,574,4,2,3,1,2,2,0,33,0
"98",60,574.07,4,4,5,1,2,4,0,56,0
"99",24,575,4,3,5,1,2,4,0,20,0
"100",48,577.11,5,4,5,2,2,4,1,9,1
"101",36,579.22,3,2,3,1,2,2,0,32,0
"102",18,580.25,4,2,5,1,2,4,0,14,0
"103",60,580.57,5,3,4,1,2,4,0,56,0
"104",48,581.8,6,5,5,1,2,1,1,1,1
"105",48,581.8,6,5,5,1,2,1,1,0,1
"106",60,587.11,4,4,3,3,2,5,1,12,1
"107",48,593.5,4,2,5,2,2,4,0,44,0
"108",48,596,6,3,4,1,2,1,1,23,1
"109",48,599.6,4,2,5,2,2,2,1,26,1
"110",48,599.93,5,2,2,2,2,1,0,44,0
"111",48,600,3,2,4,1,2,4,0,44,0
"112",24,600,5,3,5,1,1,4,0,20,0
"113",48,600,5,3,4,1,1,2,0,44,0
"114",48,600,3,3,3,1,2,5,0,44,0
"115",39,600,4,3,3,1,2,4,0,35,0
"116",36,607.36,4,2,5,1,2,4,0,32,0
"117",60,608,4,2,3,1,2,3,0,56,0
"118",12,610.02,4,2,5,1,2,4,0,8,0
"119",48,612,2,2,3,1,1,4,0,44,0
"120",60,615,4,2,3,1,2,6,0,56,0
"121",18,617.83,4,3,4,1,2,5,0,14,0
"122",60,618.33,6,3,6,1,2,2,0,56,0
"123",48,619.5,6,4,5,1,1,5,1,4,1
"124",36,625.82,4,2,4,1,2,1,0,32,0
"125",36,625.82,7,3,5,1,2,2,0,32,0
"126",14,629.34,6,3,5,1,2,1,0,10,0
"127",36,630.5,4,2,3,1,2,4,0,32,0
"128",48,634.44,5,2,5,2,2,2,1,0,1
"129",48,635,5,4,3,1,2,2,0,44,0
"130",48,640,6,3,5,1,2,1,0,44,0
"131",12,642.53,3,3,3,1,2,2,0,8,0
"132",41,644.1,4,2,3,1,2,5,0,37,0
"133",60,645.77,4,6,5,1,2,1,0,56,0
"134",60,648,5,3,2,1,2,6,0,56,0
"135",42,650,3,2,3,1,1,6,0,38,0
"136",60,650,4,6,4,1,2,4,0,56,0
"137",48,650,4,6,5,1,2,5,0,44,0
"138",49,650,2,2,4,1,2,3,0,45,0
"139",37,653.33,5,3,2,1,1,1,0,33,0
"140",60,658.25,5,2,2,1,2,3,0,56,0
"141",48,660,2,2,3,1,2,4,0,44,0
"142",48,663.95,2,2,5,1,2,4,0,44,0
"143",48,665.67,4,3,4,1,2,4,0,44,0
"144",36,670.05,2,2,3,1,2,4,0,32,0
"145",12,670.48,4,2,3,1,2,2,0,8,0
"146",13,672,2,2,3,2,1,5,0,9,0
"147",24,678.62,3,2,3,1,1,3,0,20,0
"148",24,683.82,4,2,4,1,2,4,0,20,0
"149",48,684.75,4,3,5,1,2,3,1,0,1
"150",60,687,4,2,3,1,2,6,0,56,0
"151",49,687.04,3,2,3,1,2,5,0,45,0
"152",48,689.4,5,2,2,1,2,2,0,44,0
"153",24,690,4,2,3,1,2,4,0,20,0
"154",48,693,4,2,5,1,1,4,0,44,0
"155",36,700,6,3,3,1,2,4,0,32,0
"156",24,700,4,2,3,1,2,4,0,20,0
"157",48,700,5,4,5,1,2,4,0,44,0
"158",48,700,4,6,5,1,2,4,0,44,0
"159",60,700,5,2,5,1,1,4,1,3,1
"160",60,700,4,2,3,1,2,1,1,18,1
"161",48,700,2,2,5,1,2,4,1,40,1
